Species,Code,Dataset,BIOME,,GF,Decid/E'green,Needle/Broad lf,C3C4,N2-fixer,log LL,log LMA,log Nmass,log Narea,log Gs,log Parea,log Amass,log Aarea
Adenostoma fasciculatum,1,Ackerly_Jasper,WLAND,,S,E,N,C3,N,1.255272505,2.454,0.069,0.5458,2.3526,-0.4783,1.691,1.145
Arbutus menziesii,2,Ackerly_Jasper,WLAND,,S,E,B,C3,N,1.17153144,2.188,0.094,0.288,2.1776,-0.735,1.861,1.049
Arctostaphylos tomentosa,3,Ackerly_Jasper,WLAND,,S,E,B,C3,N,1.346999571,2.145,0.014,0.1706,2.2031,-0.848527,1.876,1.022
Artemisia californica,4,Ackerly_Jasper,WLAND,,S,D,B,C3,N,0,1.979,0,0,0,0,0,0
Baccharis pilularis,5,Ackerly_Jasper,WLAND,,S,E,B,C3,N,0.951337519,2.031,0.388,0.4139,2.3277,-0.7931,2.208,1.239
Ceanothus cuneatus,6,Ackerly_Jasper,WLAND,,S,E,B,C3,Y,1.166908073,2.356,0.255,0.6111,2.4167,-0.6057,2.002,1.358
Ceanothus oliganthus,7,Ackerly_Jasper,WLAND,,S,E,B,C3,Y,1.036628895,2.081,0.328,0.4176,2.4698,-0.745,2.173,1.254
Cercocarpus betuloides,8,Ackerly_Jasper,WLAND,,S,E,B,C3,Y,1.068680502,2.138,0.382,0.5313,2.7031,-0.5536,2.249,1.386
Clematis lasiantha,9,Ackerly_Jasper,WLAND,,V,D,B,C3,N,0,1.874,0,0,0,0,0,0
Dirca occidentalis,10,Ackerly_Jasper,WLAND,,S,D,B,C3,N,0.597938829,1.754,0.412,0.1612,2.1794,-1.0068,2.13,0.8899
Eriodictyon californicum,11,Ackerly_Jasper,WLAND,,S,E,B,C3,N,0.957687084,2.251,0.222,0.4761,2.5469,-0.5535,2.017,1.268
Heteromeles arbutifolia,12,Ackerly_Jasper,WLAND,,S,E,B,C3,N,1.358172882,2.315,0.137,0.452,2.3695,-0.5644,1.774,1.089
Holodiscus discolor,13,Ackerly_Jasper,WLAND,,S,D,B,C3,N,0.661391959,1.894,0.288,0.1931,2.5505,-0.8262,2.207,1.101
Lepechinia calycina,14,Ackerly_Jasper,WLAND,,S,D,B,C3,N,0.644530494,2,0.259,0.2593,2.2964,-0.9224,2.098,1.098
Lonicera hispidula,15,Ackerly_Jasper,WLAND,,V,D,B,C3,N,0,2.032,0,0,0,0,0,0
Lotus scoparius,16,Ackerly_Jasper,WLAND,,S,D,B,C3,Y,0.301319429,1.984,0.361,0.3184,2.5569,-0.8194,2.35,1.334
Mimulus aurantiacus,17,Ackerly_Jasper,WLAND,,S,E,B,C3,N,0.876416718,2.049,0.063,0.1269,2.4233,-0.8722,2.089,1.168
Pickeringia montana,18,Ackerly_Jasper,WLAND,,S,E,B,C3,Y,0,2.181,0,0,0,0,0,0
Prunus iIlicifolia,19,Ackerly_Jasper,WLAND,,S,E,B,C3,N,1.216775994,2.178,0.311,0.4883,2.1255,-0.6694,1.805,0.9826
Quercus agrifolia,20,Ackerly_Jasper,WLAND,,S,E,B,C3,N,0,2.292,0,0,0,0,0,0
Quercus durata,21,Ackerly_Jasper,WLAND,,S,E,B,C3,N,0,2.322,0,0,0,0,0,0
Rhamnus californica,22,Ackerly_Jasper,WLAND,,S,E,B,C3,N,1.185926459,1.869,0.318,0.1867,2.1889,-0.82,2.163,1.032
Rhamnus crocea,23,Ackerly_Jasper,WLAND,,S,E,B,C3,N,1.133493287,2.1,0.328,0.4436,2.2832,-0.771,1.995,1.095
Ribes californicum,24,Ackerly_Jasper,WLAND,,S,D,B,C3,N,0.516557408,1.967,0.349,0.3105,2.1433,-0.9083,2.072,1.038
Ribes malvaceum,25,Ackerly_Jasper,WLAND,,S,D,B,C3,N,0,1.874,0,0,0,0,0,0
Sambucus mexicana,26,Ackerly_Jasper,WLAND,,S,D,B,C3,N,0.6245446,1.999,0.404,0.4086,2.5965,-0.7486,2.28,1.279
Solanum umbelliferum,27,Ackerly_Jasper,WLAND,,S,D,B,C3,N,0,1.903,0,0,0,0,0,0
Toxicodendron diversiloba,28,Ackerly_Jasper,WLAND,,S,D,B,C3,N,0.615523376,1.901,0.296226287,0.200256629,2.3287,-0.801421121,2.218,1.119
Cheirodendron tryginum,29,Baruch&Goldstein_Hawaii_High_Old,TEMP_RF,,T,,,C3,N,0,1.952024595,0.075546961,0.027571556,2.269512944,-1.093732896,1.779483589,0.731508184
Chenopodium oahuense,30,Baruch&Goldstein_Hawaii_High_Old,TEMP_RF,,S,E,,C3,N,0,1.952686184,0.559906625,0.512592809,2.434568904,-0.600155784,2.214926489,1.167612673
Comprosma ochracea,31,Baruch&Goldstein_Hawaii_High_Old,TEMP_RF,,T,E,,C3,N,0,1.896709528,0.11058971,0.007299239,2.33243846,-1.258192432,2.105197176,1.001906704
Meterosideros polymorpha pb,32,Baruch&Goldstein_Hawaii_High_Old,TEMP_RF,,T,,,C3,N,0,2.490259984,-0.13667714,0.353582845,2.198657087,-1.509740016,1.16024181,0.650501795
Myoporum sandwicensis,33,Baruch&Goldstein_Hawaii_High_Old,TEMP_RF,,T,,,C3,N,0,2.16774663,0.11058971,0.27833634,2.436162647,-0.628133388,2.004943852,1.172690482
Myrsine lessertiana,34,Baruch&Goldstein_Hawaii_High_Old,TEMP_RF,,T,,,C3,N,0,2.19293876,-0.017728767,0.175209993,2.164352856,-1.205001249,1.67127557,0.86421433
Pelea sp,35,Baruch&Goldstein_Hawaii_High_Old,TEMP_RF,,T,,,C3,N,0,1.818985792,0.113943352,-0.067070856,0,-1.703892954,0,0
Rhus sandwicensis,36,Baruch&Goldstein_Hawaii_High_Old,TEMP_RF,,T,,,C3,N,0,1.68296097,0.146128036,-0.170910995,2.625312451,-1.413949043,2.533204933,1.216165902
Rubus hawaiiensis,37,Baruch&Goldstein_Hawaii_High_Old,TEMP_RF,,S,E,,C3,N,0,1.563662398,0.469822016,0.033484414,0,-1.093914921,0,0
Sophora chrysophylla,38,Baruch&Goldstein_Hawaii_High_Old,TEMP_RF,,T,,,C3,Y,0,2.060181337,0.460897843,0.52107918,2.123851641,-0.763727404,1.828559624,0.888740961
Styphelia tameiameiae,39,Baruch&Goldstein_Hawaii_High_Old,TEMP_RF,,S,E,,C3,N,0,2.313006434,-0.086186148,0.226820286,0,-1.686993566,0,0
Vaccinium chalicinum,40,Baruch&Goldstein_Hawaii_High_Old,TEMP_RF,,S,E,,C3,N,0,1.727740557,0.298853076,0.026593633,2.117271296,-0.929836762,1.983813611,0.711554168
